시도,시군구,구분,2014,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,
,,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,,차량단독,,,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,,차량단독,,,,,,,철길건널목,
,,경상자수,2451,647,171,41,52,41,342,1704,36,612,568,488,100,5,1,1,93,0,,,2707,745,255,73,72,45,300,1870,81,767,642,380,92,14,,3,69,6,2789,800,308,83,88,39,282,1896,131,772,593,400,93,9,,0,73,11,,,2990,780,297,98,56,47,282,2091,15,203,820,575,478,119,8,,,106,4,,1,,,3376,827,254,112,87,50,324,2426,16,76,1056,738,540,123,7,,1,110,5,0,,
,,부상신고자수,450,114,31,4,6,6,67,316,5,124,64,123,20,4,0,0,14,2,,,507,128,33,9,14,9,63,355,18,162,77,98,24,8,,0,13,3,461,109,29,13,6,2,59,326,35,142,80,69,26,4,,0,14,8,,,439,116,38,13,14,4,47,305,5,35,151,47,67,18,4,,,12,2,,0,,,462,111,36,8,11,6,50,326,1,10,162,68,85,25,7,,0,17,1,0,,
,종로구,사고건수,140,58,23,6,6,3,20,70,2,39,21,8,12,2,,,9,1,,,168,81,31,12,8,7,23,80,2,51,18,9,7,,,,7,,173,76,25,16,10,3,22,87,6,44,22,15,10,,,,8,2,,,192,78,31,17,3,4,23,108,,2,64,19,23,6,,,,6,,,,,,191,80,32,18,8,5,17,102,,2,65,31,4,9,1,,,7,1,,,
,,사망자수,3,3,3,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,3,3,1,1,1,0,0,0,0,0,0,0,0,,,,0,,5,5,0,3,0,0,2,0,0,0,0,0,0,,,,0,0,,,7,5,2,2,0,0,1,2,,0,0,1,1,0,,,,0,,,,,,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,,,0,0,,,
,,부상자수,142,55,20,6,6,3,20,75,3,43,21,8,12,2,,,9,1,,,173,78,30,11,7,7,23,88,2,53,22,11,7,,,,7,,177,71,25,13,10,3,20,96,9,48,23,16,10,,,,8,2,,,200,74,29,16,3,4,22,120,,2,72,21,25,6,,,,6,,,,,,208,79,32,17,8,5,17,120,,2,72,42,4,9,1,,,7,1,,,
,,중상자수,49,34,16,3,3,1,11,13,1,6,3,3,2,1,,,1,0,,,63,42,17,9,4,3,9,19,0,12,4,3,2,,,,2,,71,41,15,9,4,2,11,26,4,11,5,6,4,,,,4,0,,,82,37,21,9,0,3,4,42,,1,23,8,10,3,,,,3,,,,,,70,42,20,9,1,3,9,24,,0,16,6,2,4,0,,,3,1,,,
,,경상자수,73,13,2,2,2,2,5,54,2,31,17,4,6,0,,,6,0,,,88,29,13,2,3,2,9,56,2,32,17,5,3,,,,3,,93,25,10,4,4,1,6,63,4,32,18,9,5,,,,4,1,,,97,30,6,6,1,1,16,64,,1,39,13,11,3,,,,3,,,,,,113,25,7,6,6,1,5,83,,2,46,33,2,5,1,,,4,0,,,
,,부상신고자수,20,8,2,1,1,0,4,8,0,6,1,1,4,1,,,2,1,,,22,7,0,0,0,2,5,13,0,9,1,3,2,,,,2,,13,5,0,0,2,0,3,7,1,5,0,1,1,,,,0,1,,,21,7,2,1,2,0,2,14,,0,10,0,4,0,,,,0,,,,,,25,12,5,2,1,1,3,13,,0,10,3,0,0,0,,,0,0,,,
,중구,사고건수,162,68,26,5,2,3,32,85,1,35,22,27,9,,,,9,,,,165,77,34,10,9,2,22,81,6,38,26,11,7,,,,7,,139,64,28,11,2,1,22,71,,39,16,16,4,,,,4,,,,156,73,23,10,5,7,28,75,,2,34,29,10,8,,,,8,,,,,,164,66,24,12,8,5,17,94,1,4,46,34,9,4,1,,,3,,,,
,,사망자수,1,0,0,0,0,0,0,1,0,0,0,1,0,,,,0,,,,3,3,1,0,0,0,2,0,0,0,0,0,0,,,,0,,6,5,5,0,0,0,0,1,,1,0,0,0,,,,0,,,,1,0,0,0,0,0,0,1,,0,0,1,0,0,,,,0,,,,,,3,2,0,1,0,1,0,1,0,0,0,1,0,0,0,,,0,,,,
,,부상자수,166,68,26,5,2,3,32,89,1,35,23,30,9,,,,9,,,,170,76,34,10,10,2,20,87,6,39,29,13,7,,,,7,,143,60,23,11,2,1,23,79,,42,19,18,4,,,,4,,,,168,75,24,10,5,7,29,85,,2,40,33,10,8,,,,8,,,,,,166,64,24,11,8,4,17,98,1,5,49,34,9,4,1,,,3,,,,
,,중상자수,73,42,17,4,1,3,17,28,0,12,6,10,3,,,,3,,,,85,50,23,7,5,2,13,33,0,16,9,8,2,,,,2,,64,37,17,4,1,1,14,26,,15,2,9,1,,,,1,,,,73,50,17,7,3,5,18,20,,2,10,4,4,3,,,,3,,,,,,66,42,18,7,4,4,9,22,0,5,9,5,3,2,0,,,2,,,,
,,경상자수,78,19,7,1,1,0,10,54,1,20,16,17,5,,,,5,,,,68,17,7,2,4,0,4,48,4,21,19,4,3,,,,3,,64,19,6,6,1,0,6,44,,22,14,8,1,,,,1,,,,76,21,6,3,2,1,9,50,,0,21,23,6,5,,,,5,,,,,,81,16,5,3,3,0,5,63,1,0,34,24,4,2,1,,,1,,,,
,,부상신고자수,15,7,2,0,0,0,5,7,0,3,1,3,1,,,,1,,,,17,9,4,1,1,0,3,6,2,2,1,1,2,,,,2,,15,4,0,1,0,0,3,9,,5,3,1,2,,,,2,,,,19,4,1,0,0,1,2,15,,0,9,6,0,0,,,,0,,,,,,19,6,1,1,1,0,3,13,0,0,6,5,2,0,0,,,0,,,,
,용산구,사고건수,158,56,20,8,3,2,23,94,3,41,31,19,8,2,,1,5,,,,169,63,19,7,5,5,27,96,8,39,25,24,10,1,,,9,,167,57,30,,6,2,19,103,11,39,33,20,7,1,,,5,1,,,163,63,28,6,2,2,25,90,1,18,28,31,12,10,,,,9,1,,,,,170,64,29,11,1,2,21,105,,,42,32,31,1,,,,1,,,,
,,사망자수,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,7,4,1,0,0,0,3,2,1,1,0,0,1,0,,,1,,4,4,4,,0,0,0,0,0,0,0,0,0,0,,,0,0,,,2,2,0,1,0,0,1,0,0,0,0,0,0,0,,,,0,0,,,,,7,7,3,1,0,2,1,0,,,0,0,0,0,,,,0,,,,
,,부상자수,164,55,19,8,3,2,23,101,3,44,33,21,8,2,,1,5,,,,167,59,18,7,5,5,24,99,9,40,26,24,9,1,,,8,,171,53,26,,6,2,19,111,11,41,38,21,7,1,,,5,1,,,170,61,28,5,2,2,24,99,1,21,29,34,14,10,,,,9,1,,,,,177,58,26,10,1,1,20,118,,,44,39,35,1,,,,1,,,,
,,중상자수,63,34,12,6,1,2,13,25,0,14,5,6,4,2,,0,2,,,,56,27,10,3,1,2,11,25,3,6,10,6,4,0,,,4,,67,36,19,,5,1,11,27,3,12,9,3,4,0,,,4,0,,,56,36,19,4,1,1,11,16,0,5,4,2,5,4,,,,4,0,,,,,56,34,19,6,0,0,9,22,,,9,3,10,0,,,,0,,,,
,,경상자수,87,17,5,2,2,0,8,66,3,25,25,13,4,0,,1,3,,,,92,26,5,4,3,3,11,62,5,28,14,15,4,0,,,4,,91,12,5,,1,1,5,76,8,25,26,17,3,1,,,1,1,,,106,22,7,1,1,1,12,78,1,13,23,32,9,6,,,,5,1,,,,,111,22,7,4,1,0,10,88,,,34,34,20,1,,,,1,,,,
,,부상신고자수,14,4,2,0,0,0,2,10,0,5,3,2,0,0,,0,0,,,,19,6,3,0,1,0,2,12,1,6,2,3,1,1,,,0,,13,5,2,,0,0,3,8,0,4,3,1,0,0,,,0,0,,,8,3,2,0,0,0,1,5,0,3,2,0,0,0,,,,0,0,,,,,10,2,0,0,0,1,1,8,,,1,2,5,0,,,,0,,,,
,성동구,사고건수,153,53,18,1,,2,32,97,3,24,20,50,3,,,,3,,,,177,96,40,2,4,2,48,79,2,29,18,30,2,,,,2,,139,67,26,5,5,3,28,72,6,29,19,18,,,,,,,,,161,55,29,3,3,1,19,95,,,45,22,28,11,,,,11,,,,,,158,50,25,3,,3,19,103,1,,32,30,40,5,,,,5,,,,
,,사망자수,4,3,1,0,,0,2,0,0,0,0,0,1,,,,1,,,,4,3,3,0,0,0,0,1,0,1,0,0,0,,,,0,,5,5,3,0,0,0,2,0,0,0,0,0,,,,,,,,,4,1,1,0,0,0,0,3,,,2,0,1,0,,,,0,,,,,,3,2,1,0,,0,1,1,0,,0,0,1,0,,,,0,,,,
,,부상자수,157,50,17,1,,2,30,105,3,24,27,51,2,,,,2,,,,181,93,37,2,4,2,48,86,2,31,21,32,2,,,,2,,143,62,23,5,5,3,26,81,7,32,24,18,,,,,,,,,168,55,28,3,3,1,20,101,,,45,27,29,12,,,,12,,,,,,161,48,24,3,,3,18,108,1,,35,30,42,5,,,,5,,,,
,,중상자수,68,34,15,0,,0,19,32,2,7,7,16,2,,,,2,,,,95,61,25,1,3,2,30,33,0,15,2,16,1,,,,1,,59,38,14,3,5,2,14,21,2,13,1,5,,,,,,,,,71,36,19,1,3,0,13,29,,,13,4,12,6,,,,6,,,,,,53,27,17,1,,2,7,24,0,,10,2,12,2,,,,2,,,,
,,경상자수,79,13,2,1,,2,8,66,0,15,19,32,0,,,,0,,,,74,28,12,1,0,0,15,45,2,14,19,10,1,,,,1,,64,15,6,1,0,1,7,49,4,13,21,11,,,,,,,,,84,16,8,2,0,0,6,62,,,28,22,12,6,,,,6,,,,,,103,20,6,2,,1,11,80,1,,23,27,29,3,,,,3,,,,
,,부상신고자수,10,3,0,0,,0,3,7,1,2,1,3,0,,,,0,,,,12,4,0,0,1,0,3,8,0,2,0,6,0,,,,0,,20,9,3,1,0,0,5,11,1,6,2,2,,,,,,,,,13,3,1,0,0,1,1,10,,,4,1,5,0,,,,0,,,,,,5,1,1,0,,0,0,4,0,,2,1,1,0,,,,0,,,,
,동대문구,사고건수,287,132,39,6,4,1,82,144,5,50,30,59,11,3,1,,7,,,,361,144,51,10,7,3,73,207,11,72,38,86,10,,,,8,2,357,154,80,11,9,2,52,186,25,82,30,49,17,,,,15,2,,,313,136,54,16,8,7,51,164,1,2,65,35,61,13,,,,11,1,,1,,,327,148,50,12,8,6,72,158,1,7,62,35,53,21,,,,21,,,,
,,사망자수,11,9,6,1,1,0,1,1,0,0,0,1,1,0,1,,0,,,,7,5,4,0,0,0,1,2,0,2,0,0,0,,,,0,0,5,4,3,0,1,0,0,1,0,0,0,1,0,,,,0,0,,,11,9,3,1,0,1,4,2,0,0,2,0,0,0,,,,0,0,,0,,,5,3,3,0,0,0,0,2,0,0,1,0,1,0,,,,0,,,,
,,부상자수,281,124,33,5,3,1,82,147,5,51,32,59,10,3,0,,7,,,,373,142,47,10,7,3,75,221,11,73,42,95,10,,,,8,2,369,154,77,11,11,2,53,198,25,85,40,48,17,,,,15,2,,,312,129,52,15,8,6,48,170,1,2,63,41,63,13,,,,11,1,,1,,,340,147,47,12,8,6,74,172,1,7,66,43,55,21,,,,21,,,,
,,중상자수,136,79,23,4,2,1,49,53,2,15,10,26,4,1,0,,3,,,,164,81,35,4,4,1,37,75,4,28,11,32,8,,,,8,0,160,86,53,8,5,1,19,66,10,31,11,14,8,,,,7,1,,,115,71,34,9,2,4,22,39,0,0,13,10,16,5,,,,4,0,,1,,,146,86,35,5,1,3,42,50,0,2,20,9,19,10,,,,10,,,,
,,경상자수,115,39,7,1,1,0,30,71,2,27,19,23,5,2,0,,3,,,,179,56,12,6,3,2,33,121,7,39,28,47,2,,,,0,2,187,65,21,3,6,1,34,116,14,44,28,30,6,,,,6,0,,,174,56,18,6,5,2,25,112,1,2,42,26,41,6,,,,5,1,,0,,,169,54,12,7,6,2,27,106,1,3,38,32,32,9,,,,9,,,,
,,부상신고자수,30,6,3,0,0,0,3,23,1,9,3,10,1,0,0,,1,,,,30,5,0,0,0,0,5,25,0,6,3,16,0,,,,0,0,22,3,3,0,0,0,0,16,1,10,1,4,3,,,,2,1,,,23,2,0,0,1,0,1,19,0,0,8,5,6,2,,,,2,0,,0,,,25,7,0,0,1,1,5,16,0,2,8,2,4,2,,,,2,,,,
,성북구,사고건수,235,121,57,15,5,8,36,105,2,59,32,12,9,1,,,7,1,,,275,131,67,16,18,7,23,135,3,78,46,8,9,3,,,6,,248,135,69,22,14,4,26,104,6,54,29,15,9,2,,,7,,,,285,129,80,16,6,11,16,140,2,13,65,33,27,16,1,,,15,,,,,,228,102,49,12,7,5,29,114,2,5,68,26,13,12,2,,,10,,,,
,,사망자수,4,4,2,0,0,1,1,0,0,0,0,0,0,0,,,0,0,,,8,5,1,2,1,0,1,1,0,1,0,0,2,2,,,0,,5,3,2,0,0,0,1,1,0,1,0,0,1,1,,,0,,,,11,8,6,1,0,0,1,3,0,0,2,0,1,0,0,,,0,,,,,,9,7,5,1,0,0,1,1,0,0,1,0,0,1,1,,,0,,,,
,,부상자수,244,118,55,15,5,7,36,117,2,64,38,13,9,1,,,7,1,,,285,127,67,14,17,7,22,151,3,84,56,8,7,1,,,6,,254,132,67,22,14,4,25,113,6,58,34,15,9,2,,,7,,,,287,124,77,15,6,11,15,147,2,17,66,34,28,16,1,,,15,,,,,,227,96,44,12,7,5,28,120,2,5,72,27,14,11,1,,,10,,,,
,,중상자수,111,71,35,8,3,3,22,34,2,20,9,3,6,1,,,4,1,,,121,73,41,10,9,5,8,44,2,23,14,5,4,0,,,4,,96,73,44,15,4,2,8,22,3,13,3,3,1,0,,,1,,,,99,57,42,7,2,1,5,36,0,4,24,3,5,6,1,,,5,,,,,,90,57,31,5,2,5,14,28,0,2,18,3,5,5,0,,,5,,,,
,,경상자수,116,43,19,7,2,4,11,70,0,38,25,7,3,0,,,3,0,,,146,48,23,4,6,2,13,96,1,53,39,3,2,0,,,2,,146,58,22,7,10,2,17,82,3,40,28,11,6,1,,,5,,,,167,64,33,8,3,10,10,94,2,9,34,28,21,9,0,,,9,,,,,,119,36,12,7,5,0,12,80,2,3,44,24,7,3,0,,,3,,,,
,,부상신고자수,17,4,1,0,0,0,3,13,0,6,4,3,0,0,,,0,0,,,18,6,3,0,2,0,1,11,0,8,3,0,1,1,,,0,,12,1,1,0,0,0,0,9,0,5,3,1,2,1,,,1,,,,21,3,2,0,1,0,0,17,0,4,8,3,2,1,0,,,1,,,,,,18,3,1,0,0,0,2,12,0,0,10,0,2,3,1,,,2,,,,
,도봉구,사고건수,171,79,38,1,4,1,35,80,3,35,23,19,12,,,,12,,,,170,77,42,4,9,5,17,81,8,45,22,6,12,2,,,10,,171,79,45,7,8,2,17,84,6,40,18,20,8,1,,,5,2,,,170,79,43,6,3,5,22,80,,2,53,15,10,11,,,,10,,,1,,,190,82,40,8,6,2,26,93,1,4,49,17,22,15,2,,,13,,,,
,,사망자수,5,3,2,0,0,0,1,2,0,1,0,1,0,,,,0,,,,3,3,2,1,0,0,0,0,0,0,0,0,0,0,,,0,,4,4,0,2,0,0,2,0,0,0,0,0,0,0,,,0,0,,,3,2,1,1,0,0,0,1,,0,1,0,0,0,,,,0,,,0,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,
,,부상자수,168,77,36,1,4,1,35,78,3,34,23,18,13,,,,13,,,,178,77,41,3,9,6,18,89,9,50,24,6,12,2,,,10,,172,76,45,5,9,2,15,88,6,42,20,20,8,1,,,5,2,,,177,78,43,5,3,5,22,88,,3,57,17,11,11,,,,10,,,1,,,199,82,39,8,6,2,27,102,1,4,53,21,23,15,2,,,13,,,,
,,중상자수,70,46,27,1,2,1,15,17,2,4,6,5,7,,,,7,,,,85,53,30,3,4,4,12,26,5,16,4,1,6,1,,,5,,80,49,38,0,4,1,6,30,2,19,3,6,1,0,,,1,0,,,71,43,25,3,1,2,12,24,,2,14,3,5,4,,,,3,,,1,,,82,50,28,4,2,0,16,25,0,3,13,3,6,7,0,,,7,,,,
,,경상자수,69,18,7,0,2,0,9,45,1,22,13,9,6,,,,6,,,,76,19,7,0,4,2,6,54,4,30,17,3,3,1,,,2,,74,24,7,5,5,1,6,45,4,17,13,11,5,1,,,4,0,,,86,32,16,2,2,3,9,50,,1,33,11,5,4,,,,4,,,0,,,97,28,9,4,4,2,9,62,1,1,30,15,15,7,2,,,5,,,,
,,부상신고자수,29,13,2,0,0,0,11,16,0,8,4,4,0,,,,0,,,,17,5,4,0,1,0,0,9,0,4,3,2,3,0,,,3,,18,3,0,0,0,0,3,13,0,6,4,3,2,0,,,0,2,,,20,3,2,0,0,0,1,14,,0,10,3,1,3,,,,3,,,0,,,20,4,2,0,0,0,2,15,0,0,10,3,2,1,0,,,1,,,,
,은평구,사고건수,195,88,33,6,8,7,34,97,1,62,23,11,10,,,,10,,,,208,94,52,9,11,5,17,107,5,65,29,8,7,,,,6,1,217,113,52,15,3,8,35,93,1,45,25,22,11,2,,,7,2,,,195,96,44,10,6,2,34,92,2,2,54,15,19,7,,,,7,,,,,,244,105,43,14,9,2,37,120,1,12,70,20,17,19,3,,,14,2,,,
,,사망자수,2,2,1,1,0,0,0,0,0,0,0,0,0,,,,0,,,,11,9,7,1,1,0,0,2,0,1,1,0,0,,,,0,0,9,5,3,0,0,0,2,3,0,2,0,1,1,1,,,0,0,,,6,5,4,1,0,0,0,1,0,0,1,0,0,0,,,,0,,,,,,7,6,2,1,1,0,2,1,0,0,0,0,1,0,0,,,0,0,,,
,,부상자수,201,87,32,5,9,7,34,104,1,67,25,11,10,,,,10,,,,206,85,45,8,10,5,17,114,5,71,29,9,7,,,,6,1,221,109,49,15,3,8,34,100,1,48,29,22,12,2,,,7,3,,,209,91,40,9,6,2,34,111,2,5,66,17,21,7,,,,7,,,,,,247,100,41,13,8,2,36,126,1,13,75,20,17,21,4,,,15,2,,,
,,중상자수,89,57,25,4,2,2,24,26,0,16,4,6,6,,,,6,,,,79,49,28,5,5,4,7,28,2,19,3,4,2,,,,2,0,102,72,33,11,2,5,21,25,1,11,5,8,5,1,,,3,1,,,86,57,31,6,3,1,16,27,0,1,17,3,6,2,,,,2,,,,,,112,66,30,10,2,1,23,37,1,3,23,4,6,9,1,,,8,0,,,
,,경상자수,86,25,7,0,5,4,9,58,1,38,16,3,3,,,,3,,,,111,34,17,3,5,1,8,72,2,41,24,5,5,,,,4,1,104,32,15,2,1,3,11,66,0,33,21,12,6,1,,,3,2,,,109,32,9,3,3,1,16,73,1,4,40,14,14,4,,,,4,,,,,,118,29,8,3,6,1,11,79,0,8,47,15,9,10,3,,,6,1,,,
,,부상신고자수,26,5,0,1,2,1,1,20,0,13,5,2,1,,,,1,,,,16,2,0,0,0,0,2,14,1,11,2,0,0,,,,0,0,15,5,1,2,0,0,2,9,0,4,3,2,1,0,,,1,0,,,14,2,0,0,0,0,2,11,1,0,9,0,1,1,,,,1,,,,,,17,5,3,0,0,0,2,10,0,2,5,1,2,2,0,,,1,1,,,
,서대문구,사고건수,156,78,35,12,5,6,20,69,2,26,25,16,9,1,,,8,,,,180,87,20,8,5,3,51,83,3,24,26,30,10,1,,,7,2,173,76,30,19,,1,26,85,10,42,24,9,12,,,1,10,1,,,166,74,38,7,5,5,19,84,1,1,43,26,13,8,,,,7,1,,,,,203,98,53,13,2,5,25,92,,4,55,24,9,13,2,,,11,,,,
,,사망자수,5,5,3,2,0,0,0,0,0,0,0,0,0,0,,,0,,,,4,4,1,1,1,1,0,0,0,0,0,0,0,0,,,0,0,7,5,4,1,,0,0,2,0,2,0,0,0,,,0,0,0,,,4,4,4,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,,,3,2,2,0,0,0,0,1,,1,0,0,0,0,0,,,0,,,,
,,부상자수,164,75,32,10,5,6,22,80,2,29,31,18,9,1,,,8,,,,191,84,19,8,4,2,51,97,3,27,27,40,10,1,,,7,2,177,71,26,18,,1,26,94,13,45,27,9,12,,,1,10,1,,,175,70,34,7,5,5,19,97,1,1,51,31,13,8,,,,7,1,,,,,209,99,54,13,2,5,25,97,,4,58,25,10,13,2,,,11,,,,
,,중상자수,85,54,27,6,2,4,15,27,0,10,10,7,4,0,,,4,,,,96,54,15,6,2,0,31,38,1,12,7,18,4,1,,,2,1,72,38,18,13,,0,7,28,4,14,6,4,6,,,1,4,1,,,66,38,17,4,2,3,12,25,0,0,13,9,3,3,,,,2,1,,,,,82,51,32,4,1,5,9,24,,0,17,4,3,7,1,,,6,,,,
,,경상자수,69,19,4,4,3,2,6,46,2,12,21,11,4,0,,,4,,,,72,22,4,2,2,1,13,46,1,11,19,15,4,0,,,4,0,83,28,7,5,,1,15,52,8,25,16,3,3,,,0,3,0,,,90,27,16,3,1,2,5,58,1,0,30,19,8,5,,,,5,0,,,,,103,39,16,7,1,0,15,60,,3,31,20,6,4,0,,,4,,,,
,,부상신고자수,10,2,1,0,0,0,1,7,0,7,0,0,1,1,,,0,,,,23,8,0,0,0,1,7,13,1,4,1,7,2,0,,,1,1,22,5,1,0,,0,4,14,1,6,5,2,3,,,0,3,0,,,19,5,1,0,2,0,2,14,0,1,8,3,2,0,,,,0,0,,,,,24,9,6,2,0,0,1,13,,1,10,1,1,2,1,,,1,,,,
