시도,시군구,구분,2014,,,,,,,,,,,,,2015,,,,,,,,,,,,,2016,,,,,,,,,,,,,2017,,,,,,,,,,,,,2018,,,,,,,,,,,,
,,,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시
,,경상자수,2451,101,74,120,171,266,271,292,282,331,257,164,122,2707,123,71,119,179,291,335,310,315,330,264,206,164,2789,113,83,149,198,284,363,327,369,307,271,181,144,2990,115,84,128,202,321,375,344,442,369,288,190,132,3376,165,102,170,236,338,459,371,430,435,301,206,163
,,부상신고자수,450,14,10,11,32,50,56,54,68,63,45,24,23,507,12,5,21,39,53,60,66,74,63,55,40,19,461,11,10,19,26,42,69,57,69,66,51,26,15,439,13,9,18,29,61,70,52,61,47,54,17,8,462,11,8,19,23,74,62,57,63,56,43,34,12
,종로구,사고건수,140,6,4,5,10,8,17,25,17,15,19,7,7,168,7,3,7,10,7,24,22,17,32,17,14,8,173,10,4,3,11,17,21,31,27,16,13,13,7,192,7,5,10,13,21,20,30,31,22,20,9,4,191,7,3,10,12,19,18,19,31,24,15,18,15
,,사망자수,3,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,5,2,0,1,0,0,1,0,0,0,0,1,0,7,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,,부상자수,142,7,4,4,10,8,16,25,17,15,21,7,8,173,7,3,7,9,7,25,21,17,35,18,16,8,177,8,6,2,11,17,21,33,29,16,13,14,7,200,7,5,13,13,21,21,31,30,24,21,9,5,208,7,3,13,13,20,19,19,39,25,16,20,14
,,중상자수,49,4,1,2,6,8,6,6,3,6,4,2,1,63,2,1,3,3,1,11,6,7,14,8,3,4,71,3,4,1,6,5,7,11,9,9,6,5,5,82,3,0,9,8,9,7,15,11,10,4,3,3,70,2,0,3,6,8,6,9,16,6,6,4,4
,,경상자수,73,2,2,2,3,0,7,16,9,7,16,3,6,88,5,2,2,6,6,10,10,8,16,8,11,4,93,4,2,1,4,10,13,20,18,6,4,9,2,97,4,5,4,3,8,11,11,18,13,13,5,2,113,4,2,10,7,7,11,8,18,18,8,12,8
,,부상신고자수,20,1,1,0,1,0,3,3,5,2,1,2,1,22,0,0,2,0,0,4,5,2,5,2,2,0,13,1,0,0,1,2,1,2,2,1,3,0,0,21,0,0,0,2,4,3,5,1,1,4,1,0,25,1,1,0,0,5,2,2,5,1,2,4,2
,중구,사고건수,162,9,4,10,9,15,24,22,23,15,13,8,10,165,7,4,5,12,14,23,24,20,25,19,3,9,139,4,4,6,13,10,26,17,17,14,12,8,8,156,3,2,8,8,16,27,22,20,17,13,14,6,164,7,10,9,9,15,26,19,24,20,8,7,10
,,사망자수,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,6,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,0,1,0,0
,,부상자수,166,9,4,10,9,15,26,23,24,15,13,8,10,170,7,4,6,12,14,22,24,22,27,20,3,9,143,3,4,5,13,10,28,17,21,14,12,7,9,168,3,2,8,8,18,32,25,21,17,13,14,7,166,7,10,9,10,17,25,20,24,20,7,7,10
,,중상자수,73,5,1,4,4,6,15,11,11,7,4,1,4,85,4,3,5,8,7,11,11,8,15,11,0,2,64,2,3,2,6,4,12,7,7,6,9,2,4,73,1,1,5,2,4,14,14,9,8,6,7,2,66,3,2,4,4,6,15,7,9,5,5,3,3
,,경상자수,78,4,2,6,4,8,9,11,10,6,8,5,5,68,2,1,1,3,5,10,12,7,11,7,2,7,64,1,1,2,7,5,14,7,11,6,3,3,4,76,2,1,3,5,13,9,8,11,8,7,4,5,81,4,7,3,5,5,9,11,13,11,2,4,7
,,부상신고자수,15,0,1,0,1,1,2,1,3,2,1,2,1,17,1,0,0,1,2,1,1,7,1,2,1,0,15,0,0,1,0,1,2,3,3,2,0,2,1,19,0,0,0,1,1,9,3,1,1,0,3,0,19,0,1,2,1,6,1,2,2,4,0,0,0
,용산구,사고건수,158,5,3,9,13,16,25,15,20,22,12,7,11,169,7,4,7,15,24,23,18,15,20,11,14,11,167,2,7,14,13,19,27,20,15,19,17,8,6,163,5,2,5,8,17,23,14,28,19,21,8,13,170,8,3,6,14,15,22,17,22,20,24,12,7
,,사망자수,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,0,1,0,1,1,1,0,1,4,0,0,1,1,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,7,1,0,1,2,0,1,0,0,0,0,2,0
,,부상자수,164,4,3,9,13,17,27,15,22,23,12,8,11,167,7,3,6,15,25,23,20,14,19,10,15,10,171,2,7,14,12,21,28,20,16,19,17,8,7,170,5,1,7,8,18,24,15,30,19,22,8,13,177,7,3,6,14,15,22,20,24,23,25,11,7
,,중상자수,63,2,1,6,5,3,13,5,7,9,4,4,4,56,2,1,2,3,9,10,6,5,7,3,6,2,67,0,3,6,6,8,9,9,6,9,8,2,1,56,2,0,1,2,6,8,5,12,7,6,4,3,56,1,1,0,4,7,8,6,8,6,10,4,1
,,경상자수,87,2,2,3,7,10,10,10,14,12,7,4,6,92,4,2,3,9,11,13,13,7,8,7,8,7,91,2,3,7,6,12,15,10,9,10,6,5,6,106,3,1,6,6,12,16,8,14,11,16,3,10,111,6,2,4,10,8,10,12,15,17,15,6,6
,,부상신고자수,14,0,0,0,1,4,4,0,1,2,1,0,1,19,1,0,1,3,5,0,1,2,4,0,1,1,13,0,1,1,0,1,4,1,1,0,3,1,0,8,0,0,0,0,0,0,2,4,1,0,1,0,10,0,0,2,0,0,4,2,1,0,0,1,0
,성동구,사고건수,153,4,7,8,12,26,18,12,17,23,14,9,3,177,5,,6,7,17,27,21,26,26,16,16,10,139,4,1,11,13,10,19,20,18,17,15,6,5,161,8,2,11,14,13,24,15,21,21,14,8,10,158,5,2,14,12,24,19,13,23,12,13,14,7
,,사망자수,4,0,0,0,1,1,0,1,0,0,1,0,0,4,0,,1,2,0,0,0,0,0,0,1,0,5,1,0,0,2,0,0,1,1,0,0,0,0,4,0,0,0,1,0,0,1,1,0,0,0,1,3,0,0,1,0,1,1,0,0,0,0,0,0
,,부상자수,157,4,8,8,11,29,19,11,17,24,14,9,3,181,6,,6,5,19,27,22,26,28,16,15,11,143,3,1,12,14,10,21,20,19,17,15,6,5,168,8,3,11,13,15,24,14,21,26,15,8,10,161,5,2,15,12,23,19,15,24,12,13,14,7
,,중상자수,68,2,1,2,4,13,9,5,10,11,4,5,2,95,3,,3,1,6,20,14,15,12,8,9,4,59,0,1,3,6,2,10,10,5,9,8,3,2,71,0,0,7,4,8,16,7,9,8,5,3,4,53,0,1,5,4,7,8,3,9,5,6,2,3
,,경상자수,79,2,6,6,5,16,9,5,6,11,8,4,1,74,3,,3,4,12,6,6,7,15,6,5,7,64,3,0,8,8,5,8,4,11,6,6,3,2,84,8,3,3,5,6,7,6,10,17,9,5,5,103,4,1,9,8,15,11,12,15,7,5,12,4
,,부상신고자수,10,0,1,0,2,0,1,1,1,2,2,0,0,12,0,,0,0,1,1,2,4,1,2,1,0,20,0,0,1,0,3,3,6,3,2,1,0,1,13,0,0,1,4,1,1,1,2,1,1,0,1,5,1,0,1,0,1,0,0,0,0,2,0,0
,동대문구,사고건수,287,8,9,14,27,36,34,34,33,44,20,12,16,361,14,10,12,34,34,50,44,49,53,27,20,14,357,6,5,19,30,42,41,46,51,55,35,15,12,313,5,4,16,19,38,37,38,42,45,32,25,12,327,8,6,17,21,35,42,46,49,56,23,17,7
,,사망자수,11,0,2,2,3,0,1,0,0,1,0,2,0,7,0,0,2,0,0,1,0,0,2,1,1,0,5,0,0,1,1,0,0,2,0,0,0,1,0,11,0,1,1,0,2,2,4,0,0,1,0,0,5,0,1,0,2,0,0,0,1,1,0,0,0
,,부상자수,281,8,7,13,25,38,33,34,33,43,21,10,16,373,14,10,10,41,34,53,45,52,51,28,21,14,369,6,5,18,29,42,44,46,56,58,38,14,13,312,5,3,15,21,36,37,35,43,45,32,27,13,340,11,6,17,20,38,47,46,50,56,24,17,8
,,중상자수,136,4,1,8,9,20,22,17,14,20,11,2,8,164,3,1,4,20,13,21,22,25,27,12,10,6,160,3,3,10,10,12,20,23,27,30,12,5,5,115,2,0,5,10,16,16,13,10,11,10,16,6,146,2,2,11,10,13,25,22,19,21,13,7,1
,,경상자수,115,4,4,4,15,15,7,12,13,20,7,6,8,179,11,9,5,17,19,23,20,23,22,15,10,5,187,3,1,7,17,28,20,18,27,25,24,9,8,174,3,3,8,10,18,21,16,32,29,18,9,7,169,8,3,6,8,21,17,21,27,32,11,9,6
,,부상신고자수,30,0,2,1,1,3,4,5,6,3,3,2,0,30,0,0,1,4,2,9,3,4,2,1,1,3,22,0,1,1,2,2,4,5,2,3,2,0,0,23,0,0,2,1,2,0,6,1,5,4,2,0,25,1,1,0,2,4,5,3,4,3,0,1,1
,성북구,사고건수,235,9,7,12,13,23,35,29,33,32,17,16,9,275,7,3,21,20,25,47,33,30,37,18,25,9,248,6,5,11,13,32,39,40,27,22,32,15,6,285,3,3,9,19,37,34,44,38,30,29,24,15,228,9,3,12,12,23,26,40,27,29,23,11,13
,,사망자수,4,0,0,0,2,0,1,1,0,0,0,0,0,8,1,0,1,3,0,0,0,1,1,0,1,0,5,0,0,1,0,2,1,0,0,0,0,0,1,11,0,0,1,2,2,1,0,2,1,1,0,1,9,0,0,2,0,1,1,1,1,1,0,1,1
,,부상자수,244,9,7,12,14,25,37,28,35,34,17,16,10,285,6,3,21,18,28,49,39,31,38,18,24,10,254,7,5,10,13,30,40,41,29,23,35,16,5,287,3,3,8,17,37,34,48,36,31,29,26,15,227,9,3,10,12,23,28,40,28,28,23,11,12
,,중상자수,111,2,2,5,6,14,19,12,16,10,11,10,4,121,2,1,8,6,16,25,16,12,17,7,8,3,96,2,1,5,6,10,9,15,12,9,18,7,2,99,1,1,6,5,13,13,14,9,15,18,3,1,90,1,1,5,5,8,13,12,11,16,9,6,3
,,경상자수,116,6,5,6,7,9,14,15,16,22,5,5,6,146,3,2,12,8,10,24,21,17,18,11,13,7,146,5,4,5,7,19,27,25,13,14,16,8,3,167,2,1,2,12,19,18,31,24,13,10,22,13,119,8,2,4,7,14,13,25,12,9,12,4,9
,,부상신고자수,17,1,0,1,1,2,4,1,3,2,1,1,0,18,1,0,1,4,2,0,2,2,3,0,3,0,12,0,0,0,0,1,4,1,4,0,1,1,0,21,0,1,0,0,5,3,3,3,3,1,1,1,18,0,0,1,0,1,2,3,5,3,2,1,0
,도봉구,사고건수,171,3,3,14,11,17,22,19,19,21,20,12,10,170,7,3,5,10,13,24,26,22,19,22,12,7,171,5,1,8,13,21,19,21,19,29,15,15,5,170,4,3,3,11,16,28,20,30,28,12,12,3,190,6,4,3,14,25,22,23,32,28,22,6,5
,,사망자수,5,0,0,1,1,1,1,0,0,0,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
,,부상자수,168,3,3,13,10,16,22,19,19,22,19,12,10,178,7,2,5,11,13,24,27,23,25,22,12,7,172,5,1,7,14,21,19,21,21,30,15,14,4,177,4,3,3,13,16,30,21,30,30,11,13,3,199,6,5,3,17,26,24,24,31,30,22,6,5
,,중상자수,70,1,0,7,6,3,9,7,16,8,7,4,2,85,2,0,1,7,9,11,16,9,13,10,6,1,80,3,0,2,8,13,5,8,10,14,8,7,2,71,1,0,3,5,6,16,8,12,9,6,4,1,82,1,2,1,4,11,9,8,14,14,15,1,2
,,경상자수,69,1,3,5,4,6,10,8,2,9,9,7,5,76,5,2,4,3,3,11,7,14,8,8,5,6,74,2,0,4,6,8,12,12,6,10,5,7,2,86,3,2,0,7,6,12,12,16,16,2,8,2,97,5,3,2,11,11,11,12,15,14,7,4,2
,,부상신고자수,29,1,0,1,0,7,3,4,1,5,3,1,3,17,0,0,0,1,1,2,4,0,4,4,1,0,18,0,1,1,0,0,2,1,5,6,2,0,0,20,0,1,0,1,4,2,1,2,5,3,1,0,20,0,0,0,2,4,4,4,2,2,0,1,1
,은평구,사고건수,195,1,4,8,9,21,16,27,30,26,28,15,10,208,8,1,11,18,21,28,19,28,21,27,17,9,217,2,2,12,14,30,28,24,32,29,25,14,5,195,8,7,6,12,21,21,20,32,34,20,6,8,244,15,3,8,21,23,37,25,42,29,20,13,8
,,사망자수,2,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,1,4,0,3,0,0,1,0,2,0,9,0,0,2,0,1,1,1,1,1,2,0,0,6,0,0,1,1,0,0,1,1,1,1,0,0,7,1,0,0,0,1,2,1,1,0,1,0,0
,,부상자수,201,1,4,8,8,21,16,28,33,28,29,15,10,206,8,1,10,16,21,26,20,29,21,29,15,10,221,3,2,11,15,30,27,25,34,32,23,14,5,209,9,11,5,13,22,24,22,32,37,19,6,9,247,15,3,8,21,22,35,27,44,30,19,15,8
,,중상자수,89,0,1,4,5,8,8,11,17,14,12,6,3,79,1,1,5,5,9,12,5,10,12,11,5,3,102,0,2,6,6,15,15,11,15,18,7,6,1,86,3,3,3,6,7,5,8,13,19,11,4,4,112,2,3,3,8,14,18,10,19,15,11,6,3
,,경상자수,86,1,3,4,2,9,5,13,13,12,12,7,5,111,7,0,5,9,11,10,13,18,9,13,9,7,104,3,0,5,9,11,12,12,16,12,14,6,4,109,5,7,2,7,14,13,12,19,16,7,2,5,118,13,0,5,11,7,14,15,22,12,8,7,4
,,부상신고자수,26,0,0,0,1,4,3,4,3,2,5,2,2,16,0,0,0,2,1,4,2,1,0,5,1,0,15,0,0,0,0,4,0,2,3,2,2,2,0,14,1,1,0,0,1,6,2,0,2,1,0,0,17,0,0,0,2,1,3,2,3,3,0,2,1
,서대문구,사고건수,156,1,,9,13,21,15,20,19,25,21,3,9,180,4,8,10,14,15,17,27,23,30,17,9,6,173,3,4,14,10,14,33,21,14,19,16,15,10,166,5,1,8,7,16,25,28,19,21,16,15,5,203,7,5,12,15,19,33,18,20,30,24,15,5
,,사망자수,5,0,,1,1,1,0,0,1,1,0,0,0,4,0,0,1,0,0,0,1,1,1,0,0,0,7,0,0,2,0,0,1,1,0,1,1,1,0,4,0,0,1,0,0,1,0,1,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,1,0
,,부상자수,164,1,,8,13,23,16,22,20,27,22,3,9,191,5,8,11,15,17,19,29,22,30,17,9,9,177,3,4,12,10,14,36,22,16,18,15,14,13,175,5,1,7,9,17,24,29,23,23,17,15,5,209,6,5,13,16,20,33,21,20,31,25,14,5
,,중상자수,85,0,,5,7,13,12,13,5,10,11,2,7,96,2,5,5,9,6,11,12,16,16,5,3,6,72,1,1,11,6,3,11,5,8,9,6,6,5,66,1,1,3,3,7,9,7,7,11,8,6,3,82,4,1,8,8,6,9,9,6,15,12,3,1
,,경상자수,69,1,,3,4,10,4,5,14,17,9,0,2,72,3,2,4,5,7,8,12,5,11,6,6,3,83,2,3,1,4,8,16,13,8,6,9,7,6,90,4,0,4,6,10,11,16,14,9,5,9,2,103,2,3,5,8,10,21,10,12,12,12,5,3
,,부상신고자수,10,0,,0,2,0,0,4,1,0,2,1,0,23,0,1,2,1,4,0,5,1,3,6,0,0,22,0,0,0,0,3,9,4,0,3,0,1,2,19,0,0,0,0,0,4,6,2,3,4,0,0,24,0,1,0,0,4,3,2,2,4,1,6,1
,마포구,사고건수,181,6,3,8,9,21,19,19,26,21,22,13,14,203,7,6,8,11,19,33,26,21,24,21,19,8,198,8,9,12,24,17,24,17,20,24,19,9,15,208,8,9,8,15,33,28,17,30,23,21,7,9,191,12,5,9,16,18,28,21,24,20,18,10,10
,,사망자수,5,1,0,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,0,0,2,0,4,0,0,0,0,1,1,0,0,1,1,0,0,4,1,0,0,1,1,0,0,1,0,0,0,0,4,0,0,1,0,1,2,0,0,0,0,0,0
,,부상자수,185,5,3,7,8,21,20,20,28,22,23,14,14,217,7,6,8,11,20,38,30,20,27,24,18,8,205,9,10,12,27,16,25,19,20,24,19,9,15,229,10,9,8,16,41,32,18,32,25,22,7,9,201,12,5,8,16,21,31,21,26,20,20,11,10
,,중상자수,76,2,2,5,6,6,9,6,11,10,10,5,4,85,3,4,1,3,11,18,11,7,12,8,5,2,84,2,3,7,9,10,12,3,7,9,10,4,8,78,2,4,4,5,12,9,5,12,9,10,3,3,62,3,1,0,7,6,7,12,8,5,7,5,1
,,경상자수,98,3,1,2,2,15,9,13,15,10,10,9,9,105,3,2,5,8,8,16,14,10,12,13,9,5,112,7,7,5,18,5,11,15,12,12,9,4,7,133,8,5,4,11,20,23,12,16,15,10,3,6,126,8,4,7,9,10,24,9,15,13,13,6,8
,,부상신고자수,11,0,0,0,0,0,2,1,2,2,3,0,1,27,1,0,2,0,1,4,5,3,3,3,4,1,9,0,0,0,0,1,2,1,1,3,0,1,0,18,0,0,0,0,9,0,1,4,1,2,1,0,13,1,0,1,0,5,0,0,3,2,0,0,1
,강서구,사고건수,240,8,1,14,14,33,24,27,31,35,25,17,11,234,6,3,13,16,33,25,32,28,28,16,20,14,240,4,3,16,20,18,40,27,25,31,27,11,18,231,3,7,16,19,22,30,26,26,32,21,16,13,210,3,7,10,16,19,29,21,22,31,26,20,6
,,사망자수,11,0,0,1,2,2,1,3,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,3,0,0,0,0,0,1,6,0,1,1,0,0,1,0,0,0,0,2,1,5,0,0,1,1,0,0,0,0,1,2,0,0
,,부상자수,246,8,1,14,12,34,23,27,32,41,24,19,11,261,6,3,14,18,34,29,34,31,31,26,20,15,246,4,3,16,20,21,38,29,26,32,28,11,18,235,3,7,17,19,23,30,28,27,32,21,15,13,223,3,9,9,15,20,34,21,22,31,29,23,7
,,중상자수,103,4,0,8,7,12,12,5,12,18,8,12,5,97,2,3,6,3,11,10,13,11,11,15,8,4,89,2,1,6,7,9,19,12,8,9,8,4,4,105,2,2,8,9,10,14,12,11,14,11,7,5,90,0,2,3,6,8,13,11,8,15,10,13,1
,,경상자수,132,3,1,6,5,20,11,20,17,22,16,5,6,144,4,0,6,15,21,17,17,16,20,9,8,11,128,2,2,7,12,10,17,17,13,14,16,5,13,117,1,5,7,10,11,14,14,15,17,8,8,7,120,3,5,6,9,10,21,10,13,14,14,10,5
,,부상신고자수,11,1,0,0,0,2,0,2,3,1,0,2,0,20,0,0,2,0,2,2,4,4,0,2,4,0,29,0,0,3,1,2,2,0,5,9,4,2,1,13,0,0,2,0,2,2,2,1,1,2,0,1,13,0,2,0,0,2,0,0,1,2,5,0,1
,구로구,사고건수,213,6,5,16,18,24,15,28,34,20,24,12,11,220,11,8,10,15,26,28,22,24,24,27,12,13,207,10,5,15,23,16,20,24,30,19,20,15,10,203,8,5,16,15,6,32,24,33,21,23,12,8,242,12,3,15,26,27,30,16,30,26,21,23,13
,,사망자수,6,0,0,2,0,1,0,0,1,0,0,0,2,9,0,1,1,1,0,2,1,0,0,1,2,0,5,0,0,1,1,1,1,0,0,1,0,0,0,6,0,1,0,1,0,0,0,0,2,2,0,0,6,0,0,0,1,0,1,0,1,0,0,3,0
,,부상자수,219,6,6,14,19,24,15,30,33,23,25,14,10,222,12,7,9,14,26,29,21,24,26,29,11,14,207,10,5,15,24,15,19,25,31,18,20,15,10,207,8,4,18,16,6,33,26,36,19,21,12,8,249,12,3,16,26,29,31,17,31,27,22,21,14
,,중상자수,97,0,2,6,8,12,6,14,14,11,12,6,6,97,4,4,3,8,13,10,13,11,10,9,4,8,93,4,2,6,11,6,10,14,12,10,6,8,4,93,4,0,9,8,2,16,14,14,8,8,8,2,95,2,0,8,10,13,10,12,11,7,12,7,3
,,경상자수,93,4,4,8,6,9,7,14,13,9,10,7,2,109,6,3,6,4,11,18,5,12,15,18,5,6,99,5,2,9,10,9,7,9,18,5,12,7,6,100,4,4,8,5,4,12,12,18,11,13,4,5,137,10,3,8,14,12,18,4,19,17,9,12,11
,,부상신고자수,29,2,0,0,5,3,2,2,6,3,3,1,2,16,2,0,0,2,2,1,3,1,1,2,2,0,15,1,1,0,3,0,2,2,1,3,2,0,0,14,0,0,1,3,0,5,0,4,0,0,0,1,17,0,0,0,2,4,3,1,1,3,1,2,0
,영등포구,사고건수,266,9,5,18,16,35,33,36,30,25,30,18,11,315,8,7,24,23,37,43,30,48,29,21,30,15,312,19,14,19,14,20,52,31,42,42,31,12,16,328,13,14,18,29,36,52,32,37,32,28,22,15,350,14,11,11,22,40,54,35,49,37,39,20,18
,,사망자수,8,0,0,1,2,2,1,0,1,1,0,0,0,12,0,0,2,0,3,1,1,2,0,0,2,1,5,0,0,1,1,0,0,1,2,0,0,0,0,8,0,1,1,0,1,2,1,1,0,0,0,1,6,0,0,0,1,3,0,0,1,0,1,0,0
,,부상자수,268,10,5,17,14,33,32,37,33,27,31,18,11,323,8,7,24,25,35,43,35,48,30,22,31,15,325,20,15,19,13,21,56,31,45,45,32,12,16,340,14,14,18,31,36,54,34,38,33,30,24,14,358,14,11,11,22,39,55,38,51,39,39,21,18
,,중상자수,120,4,2,8,6,17,18,19,11,13,12,7,3,124,2,1,14,10,14,21,12,21,11,7,9,2,104,6,5,4,6,6,20,12,17,7,9,6,6,115,4,5,8,15,13,19,6,8,13,10,8,6,107,5,1,4,8,10,14,15,15,14,11,6,4
,,경상자수,121,5,3,8,8,13,11,14,17,10,18,9,5,165,4,6,9,11,19,20,20,20,15,10,19,12,190,12,10,11,7,11,32,15,25,32,19,6,10,189,8,7,7,15,18,29,24,25,17,17,14,8,231,9,10,6,12,24,38,20,36,24,26,14,12
,,부상신고자수,27,1,0,1,0,3,3,4,5,4,1,2,3,34,2,0,1,4,2,2,3,7,4,5,3,1,31,2,0,4,0,4,4,4,3,6,4,0,0,36,2,2,3,1,5,6,4,5,3,3,2,0,20,0,0,1,2,5,3,3,0,1,2,1,2
,동작구,사고건수,148,8,5,5,8,18,23,20,21,15,15,6,4,175,4,2,6,18,19,21,15,21,24,24,10,11,196,3,6,12,10,15,21,36,27,17,21,20,8,200,5,4,10,15,26,26,30,32,19,12,12,9,225,6,4,12,11,30,25,34,28,22,30,17,6
,,사망자수,4,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,8,0,1,1,1,1,0,2,0,1,0,1,0,11,0,0,3,1,1,2,1,2,0,0,1,0,4,0,0,1,0,1,0,0,2,0,0,0,0
,,부상자수,152,8,6,5,8,19,23,21,21,16,13,7,5,179,4,2,6,18,20,21,15,22,25,24,11,11,195,3,6,12,9,14,22,35,28,17,22,19,8,198,5,4,7,14,27,24,33,32,19,12,12,9,237,6,4,12,12,32,28,34,29,25,32,17,6
