시도,시군구,구분,2014,,,,,,,,,,,,,2015,,,,,,,,,,,,,2016,,,,,,,,,,,,,2017,,,,,,,,,,,,,2018,,,,,,,,,,,,
,,,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
,,경상자수,2451,171,149,195,205,208,198,198,223,214,229,238,223,2707,198,179,230,209,238,192,242,236,238,277,242,226,2789,204,205,228,239,254,218,248,227,225,272,233,236,2990,237,216,231,238,250,265,251,258,285,258,246,255,3376,262,247,274,277,288,263,312,280,313,304,283,273
,,부상신고자수,450,26,24,29,32,46,41,44,43,40,44,46,35,507,23,30,43,40,47,37,42,52,62,50,43,38,461,24,24,46,45,48,37,38,33,38,45,43,40,439,27,19,39,38,42,34,58,43,30,45,32,32,462,30,33,31,35,35,41,44,38,40,52,45,38
,종로구,사고건수,140,2,7,8,14,9,17,11,15,9,19,14,15,168,13,10,13,10,17,10,17,11,18,19,13,17,173,20,10,12,15,19,14,16,11,13,16,9,18,192,15,8,13,21,15,17,15,17,20,16,14,21,191,15,13,18,13,21,11,16,22,21,21,11,9
,,사망자수,3,0,0,0,0,0,1,0,0,0,2,0,0,3,0,1,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,1,0,0,1,1,0,2,7,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
,,부상자수,142,2,9,8,15,9,16,12,16,9,17,14,15,173,14,10,13,10,17,11,18,14,18,19,13,16,177,22,10,12,15,20,14,17,11,13,15,9,19,200,14,10,14,21,15,18,15,17,21,20,13,22,208,15,12,19,15,24,11,22,23,24,23,11,9
,,중상자수,49,1,1,4,1,4,6,5,7,4,7,7,2,63,3,5,7,4,4,8,6,4,8,5,4,5,71,8,4,5,7,10,4,5,4,7,5,5,7,82,7,6,8,6,7,10,6,7,7,7,2,9,70,4,4,7,5,8,5,7,11,7,4,4,4
,,경상자수,73,1,7,2,12,5,9,6,6,4,8,3,10,88,8,5,5,4,12,2,9,8,10,12,6,7,93,13,6,6,8,8,7,9,7,5,9,4,11,97,4,4,5,13,7,7,6,7,12,12,9,11,113,9,7,8,10,12,5,14,9,17,12,6,4
,,부상신고자수,20,0,1,2,2,0,1,1,3,1,2,4,3,22,3,0,1,2,1,1,3,2,0,2,3,4,13,1,0,1,0,2,3,3,0,1,1,0,1,21,3,0,1,2,1,1,3,3,2,1,2,2,25,2,1,4,0,4,1,1,3,0,7,1,1
,중구,사고건수,162,8,13,18,11,11,12,12,21,15,12,13,16,165,7,10,21,14,16,12,14,18,12,13,18,10,139,9,12,11,8,13,12,7,15,12,14,13,13,156,9,13,10,12,14,18,12,10,16,11,16,15,164,15,17,17,15,9,16,19,11,17,6,15,7
,,사망자수,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,6,1,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0
,,부상자수,166,8,15,18,11,10,12,12,21,18,12,13,16,170,7,10,23,14,18,13,15,19,12,11,18,10,143,10,14,11,8,13,12,7,16,12,13,16,11,168,10,13,12,14,15,18,14,11,18,11,16,16,166,16,16,17,15,9,17,19,12,17,6,15,7
,,중상자수,73,5,6,11,4,3,2,5,12,8,5,3,9,85,3,8,13,6,10,8,7,8,4,6,9,3,64,6,5,6,3,10,5,1,8,3,6,6,5,73,5,7,8,5,5,7,3,6,6,5,8,8,66,8,6,10,3,4,9,5,5,7,1,4,4
,,경상자수,78,3,6,7,7,5,9,5,9,8,5,9,5,68,3,2,10,6,5,3,5,8,7,4,8,7,64,2,8,4,4,3,5,5,7,8,6,6,6,76,4,6,4,6,8,9,6,5,11,5,6,6,81,8,7,4,7,4,8,12,6,9,5,8,3
,,부상신고자수,15,0,3,0,0,2,1,2,0,2,2,1,2,17,1,0,0,2,3,2,3,3,1,1,1,0,15,2,1,1,1,0,2,1,1,1,1,4,0,19,1,0,0,3,2,2,5,0,1,1,2,2,19,0,3,3,5,1,0,2,1,1,0,3,0
,용산구,사고건수,158,14,10,12,6,10,13,19,20,14,14,13,13,169,15,7,17,15,14,14,17,15,17,13,15,10,167,11,8,15,21,17,14,15,14,13,12,13,14,163,18,7,14,12,14,7,10,18,19,17,12,15,170,13,11,11,13,17,10,14,15,13,22,16,15
,,사망자수,1,0,0,0,0,0,1,0,0,0,0,0,0,7,2,0,1,1,0,1,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,7,3,0,0,0,2,0,0,1,0,0,0,1
,,부상자수,164,14,10,12,8,10,13,21,21,14,14,14,13,167,13,8,16,15,14,13,17,14,17,13,15,12,171,11,8,16,21,19,14,16,14,13,10,13,16,170,21,7,14,12,14,5,10,19,21,17,14,16,177,12,14,13,15,16,10,15,14,13,24,17,14
,,중상자수,63,5,7,7,3,5,3,2,9,6,4,6,6,56,3,3,5,6,8,6,6,2,5,1,7,4,67,4,5,7,6,7,5,7,7,5,2,3,9,56,6,6,3,6,6,1,5,6,6,5,1,5,56,5,3,7,5,6,2,6,6,3,5,4,4
,,경상자수,87,7,2,4,5,5,8,17,10,7,10,6,6,92,9,4,8,5,6,6,11,12,6,11,8,6,91,6,3,8,9,11,9,9,7,8,8,9,4,106,11,1,11,6,8,4,4,12,15,12,11,11,111,6,10,6,9,10,6,8,7,8,19,13,9
,,부상신고자수,14,2,1,1,0,0,2,2,2,1,0,2,1,19,1,1,3,4,0,1,0,0,6,1,0,2,13,1,0,1,6,1,0,0,0,0,0,1,3,8,4,0,0,0,0,0,1,1,0,0,2,0,10,1,1,0,1,0,2,1,1,2,0,0,1
,성동구,사고건수,153,10,9,8,13,6,14,15,20,15,18,13,12,177,17,17,11,12,18,13,21,16,14,14,13,11,139,7,10,16,10,14,9,14,11,9,18,11,10,161,12,13,8,14,19,17,13,11,15,16,14,9,158,12,14,16,14,12,9,8,17,16,13,12,15
,,사망자수,4,1,0,0,0,1,0,0,0,0,1,0,1,4,1,0,1,0,0,0,1,1,0,0,0,0,5,0,0,3,0,1,0,0,0,1,0,0,0,4,0,0,0,0,1,0,1,1,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0,1,0
,,부상자수,157,9,10,8,14,5,14,16,20,20,17,13,11,181,16,18,13,12,18,13,20,16,17,14,13,11,143,9,10,13,10,15,9,15,11,9,18,11,13,168,13,15,8,14,19,22,12,10,14,17,14,10,161,12,14,20,15,12,8,8,18,15,13,11,15
,,중상자수,68,3,6,4,8,1,4,5,6,9,9,7,6,95,9,13,6,7,9,8,10,9,6,7,6,5,59,5,6,3,2,5,2,10,3,5,10,2,6,71,7,6,4,7,7,10,2,5,6,8,7,2,53,3,6,7,4,3,3,2,5,2,7,4,7
,,경상자수,79,5,3,3,5,4,8,10,14,9,8,5,5,74,5,5,7,4,9,4,8,6,11,6,5,4,64,4,4,6,4,9,6,4,6,3,6,6,6,84,5,8,3,6,11,10,8,5,8,8,7,5,103,8,8,11,11,9,5,6,13,12,5,7,8
,,부상신고자수,10,1,1,1,1,0,2,1,0,2,0,1,0,12,2,0,0,1,0,1,2,1,0,1,2,2,20,0,0,4,4,1,1,1,2,1,2,3,1,13,1,1,1,1,1,2,2,0,0,1,0,3,5,1,0,2,0,0,0,0,0,1,1,0,0
,동대문구,사고건수,287,28,17,21,22,19,23,27,25,24,28,28,25,361,31,27,36,22,29,28,31,29,31,29,38,30,357,30,28,24,26,42,34,31,24,29,37,31,21,313,26,19,28,28,19,31,33,31,20,30,16,32,327,23,27,25,24,33,31,35,21,27,26,33,22
,,사망자수,11,1,0,0,2,2,2,0,0,1,0,2,1,7,1,1,0,2,0,0,0,0,0,0,2,1,5,1,1,2,0,0,0,0,0,0,0,1,0,11,1,0,1,0,0,0,0,3,0,3,1,2,5,0,0,3,0,0,0,0,0,0,1,1,0
,,부상자수,281,28,17,21,20,18,21,27,26,23,28,26,26,373,30,26,36,27,31,28,33,31,36,30,36,29,369,31,27,22,28,44,35,31,25,29,43,33,21,312,26,19,29,29,21,31,33,28,20,29,16,31,340,25,27,24,24,37,32,36,23,28,27,35,22
,,중상자수,136,16,6,8,13,9,7,15,15,12,14,12,9,164,17,9,20,14,12,10,10,11,14,15,14,18,160,11,13,10,14,20,13,18,4,11,16,15,15,115,11,7,10,11,10,14,9,10,6,9,5,13,146,11,16,12,8,18,16,11,8,14,8,15,9
,,경상자수,115,12,7,11,7,7,10,8,6,10,9,12,16,179,11,15,13,10,15,16,21,17,19,14,19,9,187,17,13,10,13,22,17,12,20,15,25,18,5,174,13,10,17,17,9,15,20,18,12,16,10,17,169,13,11,11,15,18,12,23,14,13,14,16,9
,,부상신고자수,30,0,4,2,0,2,4,4,5,1,5,2,1,30,2,2,3,3,4,2,2,3,3,1,3,2,22,3,1,2,1,2,5,1,1,3,2,0,1,23,2,2,2,1,2,2,4,0,2,4,1,1,25,1,0,1,1,1,4,2,1,1,5,4,4
,성북구,사고건수,235,25,17,14,18,21,16,16,20,20,27,23,18,275,19,16,22,15,22,24,21,21,35,27,30,23,248,23,23,21,14,25,15,19,20,22,22,21,23,285,27,19,16,27,23,32,16,27,24,25,28,21,228,24,25,23,18,16,19,21,14,16,22,9,21
,,사망자수,4,1,1,0,0,1,0,0,0,0,0,1,0,8,1,1,0,0,1,1,1,0,1,0,1,1,5,0,2,0,0,0,0,2,1,0,0,0,0,11,1,0,0,1,1,0,0,2,2,2,1,1,9,0,2,0,0,0,1,0,1,1,3,0,1
,,부상자수,244,26,17,15,18,22,16,17,22,21,29,22,19,285,22,16,23,15,22,24,21,21,36,30,32,23,254,23,22,22,14,25,16,18,21,23,23,22,25,287,29,20,16,30,23,33,16,25,24,23,27,21,227,25,24,24,20,16,20,21,14,15,19,9,20
,,중상자수,111,15,8,7,9,8,2,8,16,9,12,9,8,121,11,10,12,8,9,10,6,6,14,14,7,14,96,10,11,8,4,10,8,4,4,11,11,9,6,99,17,4,4,12,7,11,6,10,11,8,7,2,90,9,10,13,9,7,8,10,6,6,8,1,3
,,경상자수,116,9,9,6,9,13,14,8,4,10,16,9,9,146,11,6,11,7,13,12,11,13,16,16,21,9,146,11,10,13,9,15,6,13,16,11,12,12,18,167,12,13,11,14,15,20,9,11,12,15,17,18,119,14,13,10,10,8,10,9,5,9,8,8,15
,,부상신고자수,17,2,0,2,0,1,0,1,2,2,1,4,2,18,0,0,0,0,0,2,4,2,6,0,4,0,12,2,1,1,1,0,2,1,1,1,0,1,1,21,0,3,1,4,1,2,1,4,1,0,3,1,18,2,1,1,1,1,2,2,3,0,3,0,2
,도봉구,사고건수,171,12,7,13,15,10,20,17,21,15,11,11,19,170,16,15,13,24,10,12,11,9,14,21,10,15,171,11,14,16,21,11,14,12,12,14,14,15,17,170,10,16,9,12,18,16,12,17,15,13,16,16,190,16,11,14,14,18,14,16,20,20,20,15,12
,,사망자수,5,0,1,0,1,1,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,1,0,0,1,4,0,2,1,0,1,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
,,부상자수,168,12,6,13,14,9,20,18,22,14,11,10,19,178,16,15,16,27,11,11,11,10,13,23,11,14,172,12,12,15,23,10,15,12,12,15,14,15,17,177,10,14,9,13,18,18,14,18,16,14,16,17,199,16,11,14,14,19,14,17,20,22,22,17,13
,,중상자수,70,2,3,2,5,4,11,10,8,5,7,4,9,85,10,6,9,12,2,8,8,4,4,12,4,6,80,9,4,6,9,3,11,4,5,4,6,9,10,71,7,5,2,3,7,7,7,7,5,6,6,9,82,7,3,5,6,7,8,10,8,5,10,7,6
,,경상자수,69,8,1,9,7,3,5,4,10,7,2,4,9,76,6,6,5,15,7,2,3,5,6,10,6,5,74,2,7,9,14,5,4,7,2,7,6,5,6,86,3,7,7,8,8,10,6,9,9,4,8,7,97,7,6,8,7,10,5,7,10,13,10,8,6
,,부상신고자수,29,2,2,2,2,2,4,4,4,2,2,2,1,17,0,3,2,0,2,1,0,1,3,1,1,3,18,1,1,0,0,2,0,1,5,4,2,1,1,20,0,2,0,2,3,1,1,2,2,4,2,1,20,2,2,1,1,2,1,0,2,4,2,2,1
,은평구,사고건수,195,8,10,16,15,21,17,15,14,16,25,24,14,208,12,20,11,14,21,22,14,26,19,19,13,17,217,18,17,19,16,29,16,13,20,13,21,15,20,195,15,15,16,17,14,12,18,11,24,13,25,15,244,14,18,25,17,20,21,19,11,26,25,24,24
,,사망자수,2,0,0,0,0,0,0,0,1,0,0,0,1,11,1,2,0,1,0,2,1,1,0,2,0,1,9,0,0,0,1,2,0,2,0,1,1,1,1,6,1,0,0,0,0,0,1,0,0,1,1,2,7,1,1,0,0,0,0,1,1,1,0,0,2
,,부상자수,201,8,10,17,15,23,18,16,13,16,28,24,13,206,11,18,11,13,22,21,14,26,19,17,15,19,221,18,19,20,16,30,16,11,21,15,20,15,20,209,21,16,16,18,15,14,19,11,26,13,25,15,247,13,17,27,18,20,22,19,10,25,27,24,25
,,중상자수,89,6,6,8,7,12,9,8,3,7,10,10,3,79,4,4,2,5,6,9,6,13,7,8,8,7,102,8,9,12,8,11,6,5,9,5,11,9,9,86,7,6,8,8,5,5,6,5,11,6,12,7,112,7,7,13,4,11,9,6,6,10,15,12,12
,,경상자수,86,0,3,8,5,9,7,8,8,6,13,9,10,111,7,14,9,6,12,10,6,12,9,8,7,11,104,10,9,6,8,16,9,6,8,10,9,4,9,109,13,10,8,9,9,8,11,4,14,6,11,6,118,6,9,14,10,6,10,12,4,15,10,11,11
,,부상신고자수,26,2,1,1,3,2,2,0,2,3,5,5,0,16,0,0,0,2,4,2,2,1,3,1,0,1,15,0,1,2,0,3,1,0,4,0,0,2,2,14,1,0,0,1,1,1,2,2,1,1,2,2,17,0,1,0,4,3,3,1,0,0,2,1,2
,서대문구,사고건수,156,11,5,17,16,12,20,9,13,11,15,21,6,180,17,11,17,14,16,15,22,10,16,18,11,13,173,13,22,13,14,12,14,8,20,12,20,13,12,166,20,11,15,12,13,13,6,16,16,18,13,13,203,11,16,10,22,8,18,17,11,16,36,18,20
,,사망자수,5,0,0,0,0,0,0,1,0,0,0,2,2,4,0,0,0,1,1,0,0,0,0,1,0,1,7,0,0,0,1,1,1,1,0,0,1,1,1,4,1,0,1,0,0,0,0,0,0,2,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0
,,부상자수,164,11,6,21,19,12,20,9,14,13,16,19,4,191,17,11,17,13,15,16,25,10,18,19,15,15,177,14,25,14,13,12,15,7,21,12,19,13,12,175,20,11,14,12,13,13,8,20,18,19,13,14,209,12,15,11,20,8,19,17,12,19,37,19,20
,,중상자수,85,7,1,11,8,6,12,4,7,6,7,13,3,96,9,7,7,6,7,6,15,9,2,9,8,11,72,6,9,5,7,7,3,5,8,2,8,7,5,66,7,2,9,3,7,5,1,6,8,5,7,6,82,6,7,5,9,1,11,4,1,6,15,4,13
,,경상자수,69,4,5,6,9,6,8,5,5,6,9,5,1,72,8,2,7,7,6,10,7,0,9,8,5,3,83,5,15,6,6,3,11,2,9,6,10,5,5,90,13,8,5,7,5,5,4,12,8,12,5,6,103,6,6,4,9,7,5,10,9,10,20,12,5
,,부상신고자수,10,0,0,4,2,0,0,0,2,1,0,1,0,23,0,2,3,0,2,0,3,1,7,2,2,1,22,3,1,3,0,2,1,0,4,4,1,1,2,19,0,1,0,2,1,3,3,2,2,2,1,2,24,0,2,2,2,0,3,3,2,3,2,3,2
,마포구,사고건수,181,10,7,18,19,21,12,17,14,12,13,22,16,203,17,12,20,16,14,24,7,20,20,18,13,22,198,14,14,16,12,16,17,17,18,15,22,11,26,208,16,17,23,17,29,15,16,18,20,14,9,14,191,22,12,16,20,15,13,19,11,14,10,21,18
,,사망자수,5,0,1,0,0,1,0,1,0,1,0,1,0,5,0,0,2,1,1,0,0,0,0,1,0,0,4,1,1,0,0,0,1,0,1,0,0,0,0,4,0,0,2,0,1,1,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0,1,0,0
,,부상자수,185,11,6,20,21,22,12,16,14,12,13,21,17,217,18,12,18,16,15,27,7,20,25,17,19,23,205,13,13,17,12,17,17,17,18,15,25,11,30,229,16,17,23,18,30,15,24,23,24,14,10,15,201,24,12,17,22,16,13,20,12,16,9,22,18
,,중상자수,76,5,4,8,10,8,6,5,4,5,6,11,4,85,8,5,6,5,9,14,1,8,10,7,3,9,84,8,6,5,6,9,5,7,7,7,9,5,10,78,6,4,7,5,12,9,6,8,9,3,5,4,62,13,4,3,5,7,5,3,2,6,3,7,4
,,경상자수,98,5,2,12,10,14,6,9,9,6,4,9,12,105,9,6,9,11,4,10,5,9,12,7,12,11,112,4,7,10,5,5,12,9,11,8,16,5,20,133,10,12,14,10,15,6,11,14,15,10,5,11,126,11,7,14,12,9,8,16,8,8,6,14,13
,,부상신고자수,11,1,0,0,1,0,0,2,1,1,3,1,1,27,1,1,3,0,2,3,1,3,3,3,4,3,9,1,0,2,1,3,0,1,0,0,0,1,0,18,0,1,2,3,3,0,7,1,0,1,0,0,13,0,1,0,5,0,0,1,2,2,0,1,1
,강서구,사고건수,240,13,16,23,18,19,21,20,24,20,25,27,14,234,18,13,24,25,17,13,18,22,12,23,29,20,240,16,20,21,24,24,15,27,21,23,19,15,15,231,25,20,25,13,16,20,17,21,15,14,16,29,210,19,14,17,19,12,19,18,24,18,10,21,19
,,사망자수,11,0,0,1,3,1,1,0,2,1,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,1,0,1,1,0,6,0,1,0,0,0,3,1,0,0,0,0,1,5,0,0,0,0,0,0,0,2,1,0,0,2
,,부상자수,246,13,16,23,15,21,25,20,23,19,27,29,15,261,20,14,26,27,18,14,19,24,21,28,30,20,246,16,21,21,24,25,16,28,22,24,20,14,15,235,25,19,25,14,18,17,17,24,15,15,17,29,223,21,14,18,21,12,20,19,25,22,10,23,18
,,중상자수,103,5,6,9,7,11,10,5,11,9,11,12,7,97,6,3,12,10,7,3,11,11,11,6,10,7,89,5,6,9,8,10,5,11,11,10,5,4,5,105,12,9,15,4,5,10,8,10,9,2,7,14,90,3,8,7,7,4,11,9,7,8,5,13,8
,,경상자수,132,8,10,12,7,9,15,12,9,10,15,17,8,144,13,9,13,16,9,11,6,10,7,21,16,13,128,10,11,9,12,10,8,15,11,13,14,8,7,117,11,10,8,9,11,6,9,13,4,11,10,15,120,14,6,11,13,6,9,10,15,13,4,10,9
,,부상신고자수,11,0,0,2,1,1,0,3,3,0,1,0,0,20,1,2,1,1,2,0,2,3,3,1,4,0,29,1,4,3,4,5,3,2,0,1,1,2,3,13,2,0,2,1,2,1,0,1,2,2,0,0,13,4,0,0,1,2,0,0,3,1,1,0,1
,구로구,사고건수,213,20,10,13,17,32,16,9,16,18,23,21,18,220,19,12,15,16,17,19,24,19,19,28,15,17,207,13,7,15,14,18,17,16,15,22,22,27,21,203,18,16,13,7,9,15,16,22,20,25,21,21,242,15,19,18,19,28,18,24,17,21,25,19,19
,,사망자수,6,3,0,0,1,0,1,0,1,0,0,0,0,9,3,1,0,1,2,0,0,0,0,0,1,1,5,1,1,0,0,0,1,0,0,0,0,1,1,6,0,0,0,0,0,0,0,1,1,1,2,1,6,2,0,0,1,0,0,0,0,1,0,1,1
,,부상자수,219,18,12,13,16,34,15,12,15,21,24,21,18,222,19,11,16,16,15,21,26,19,20,29,14,16,207,12,6,15,14,19,17,16,15,22,22,28,21,207,19,17,14,7,9,16,16,22,23,24,20,20,249,14,19,18,19,28,19,24,17,25,28,18,20
,,중상자수,97,6,5,4,5,16,8,5,7,9,12,10,10,97,8,4,4,5,8,11,9,9,10,14,8,7,93,6,1,10,9,10,8,7,8,9,6,10,9,93,6,7,3,4,6,8,9,11,10,10,9,10,95,7,6,8,9,12,9,8,8,8,9,5,6
,,경상자수,93,9,7,7,10,13,4,4,4,12,7,8,8,109,9,7,8,10,6,10,14,8,9,15,5,8,99,6,5,5,4,8,8,9,5,9,13,17,10,100,13,9,10,3,3,8,6,9,11,10,9,9,137,7,12,9,10,14,10,15,9,14,14,9,14
,,부상신고자수,29,3,0,2,1,5,3,3,4,0,5,3,0,16,2,0,4,1,1,0,3,2,1,0,1,1,15,0,0,0,1,1,1,0,2,4,3,1,2,14,0,1,1,0,0,0,1,2,2,4,2,1,17,0,1,1,0,2,0,1,0,3,5,4,0
,영등포구,사고건수,266,22,18,27,15,27,20,19,26,27,22,23,20,315,19,24,25,14,17,21,30,38,24,42,37,24,312,20,21,28,23,30,22,23,25,26,34,20,40,328,24,32,32,18,28,25,30,22,26,32,35,24,350,27,26,39,26,20,26,35,24,34,33,33,27
,,사망자수,8,1,0,1,1,0,1,1,0,0,2,1,0,12,3,2,0,0,0,0,0,1,1,1,2,2,5,1,0,0,0,0,1,1,1,0,0,1,0,8,1,0,0,1,0,1,0,1,1,1,2,0,6,0,0,1,0,0,0,0,1,1,1,2,0
,,부상자수,268,24,19,26,14,27,19,20,27,30,20,22,20,323,19,22,28,15,21,21,34,38,23,43,37,22,325,19,22,29,28,31,23,25,25,27,35,19,42,340,24,34,34,18,30,24,30,23,25,34,37,27,358,29,27,40,27,20,27,39,24,34,32,31,28
,,중상자수,120,9,8,15,5,14,8,8,15,13,11,9,5,124,8,9,9,7,7,8,12,14,4,20,14,12,104,7,9,13,6,5,10,9,5,10,14,4,12,115,5,12,11,4,12,6,11,6,7,16,14,11,107,9,12,10,11,3,8,9,7,10,9,11,8
,,경상자수,121,12,9,10,7,12,11,8,12,10,8,11,11,165,10,11,16,6,12,11,17,22,13,19,19,9,190,10,12,13,18,19,12,15,17,14,19,12,29,189,17,19,21,12,13,14,16,14,15,14,22,12,231,19,15,29,16,16,16,27,15,22,16,20,20
,,부상신고자수,27,3,2,1,2,1,0,4,0,7,1,2,4,34,1,2,3,2,2,2,5,2,6,4,4,1,31,2,1,3,4,7,1,1,3,3,2,3,1,36,2,3,2,2,5,4,3,3,3,4,1,4,20,1,0,1,0,1,3,3,2,2,7,0,0
,동작구,사고건수,148,9,9,14,14,19,10,10,8,9,14,17,15,175,10,14,13,14,11,12,16,17,15,20,15,18,196,17,12,23,16,15,19,13,20,15,15,16,15,200,17,21,16,17,16,18,17,15,10,20,16,17,225,13,21,11,19,17,25,22,26,20,19,13,19
,,사망자수,4,0,0,0,1,0,0,1,0,0,1,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,8,1,1,1,0,2,1,0,0,1,1,0,0,11,0,2,0,1,1,1,0,0,0,1,2,3,4,1,1,0,1,0,0,1,0,0,0,0,0
,,부상자수,152,9,9,14,14,21,10,10,9,10,13,18,15,179,10,14,13,14,12,13,16,19,14,20,15,19,195,16,11,23,16,13,20,14,21,15,14,16,16,198,17,20,17,17,15,20,17,15,10,20,16,14,237,14,22,11,19,19,26,24,27,20,20,14,21
,,중상자수,64,6,6,4,3,7,5,5,3,5,7,6,7,73,3,6,8,9,6,5,5,8,5,6,7,5,79,6,3,13,6,2,6,4,10,6,6,7,10,71,3,9,5,3,3,6,10,4,6,7,12,3,96,8,11,3,6,9,9,6,12,10,7,7,8
,,경상자수,72,3,3,10,10,10,3,5,6,3,4,10,5,85,5,6,4,4,5,8,7,7,8,10,7,14,103,8,7,10,7,10,11,10,11,7,7,9,6,110,12,11,8,11,9,13,7,9,4,12,4,10,122,6,10,7,13,10,16,12,14,7,11,4,12
